lane_id,supplier_id,region,annual_units,unit_cost_usd,inbound_freight_usd,lead_time_days,on_time_rate,fill_rate,defect_rate,demand_cv,expedite_rate,carbon_kg_per_unit
LANE-032,SUP-004,Central,3543,10.10,1.21,15.39,0.9032,0.9310,0.0140,0.3205,0.0664,0.817
LANE-033,SUP-005,Central,4952,10.22,1.11,18.44,0.9334,0.9232,0.0149,0.2424,0.0654,0.843
LANE-034,SUP-006,Central,3858,10.19,0.97,16.40,0.9254,0.9684,0.0091,0.3312,0.0649,0.756
LANE-035,SUP-007,Central,4006,9.31,1.02,18.83,0.9318,0.9472,0.0142,0.3340,0.0448,0.827
LANE-036,SUP-008,Central,3467,9.29,1.12,17.57,0.9403,0.9342,0.0097,0.2439,0.0578,0.694
LANE-037,SUP-009,Central,4074,9.33,1.10,14.88,0.9299,0.9582,0.0132,0.3258,0.0579,0.829
LANE-038,SUP-010,Central,4446,9.46,1.04,19.21,0.9519,0.9228,0.0141,0.2521,0.0538,0.753
LANE-039,SUP-011,Central,4343,9.12,1.02,16.94,0.9368,0.9433,0.0141,0.2528,0.0584,0.687
LANE-040,SUP-012,Central,4948,9.84,1.03,17.18,0.9314,0.9399,0.0142,0.2490,0.0619,0.715
LANE-041,SUP-013,West,5092,10.63,1.77,12.34,0.8688,0.8831,0.0193,0.6586,0.1685,1.116
LANE-042,SUP-014,West,5135,10.76,1.62,13.00,0.8773,0.9275,0.0197,0.7930,0.1825,1.090
LANE-043,SUP-015,West,4677,11.66,1.60,12.10,0.8820,0.9203,0.0187,0.6307,0.1889,1.085
LANE-044,SUP-016,West,6009,10.44,1.89,14.80,0.8472,0.8862,0.0201,0.6444,0.1204,1.076
LANE-045,SUP-017,West,5793,11.12,1.99,15.15,0.8612,0.9186,0.0235,0.6515,0.1488,1.193
LANE-046,SUP-018,West,5124,11.60,1.60,12.82,0.8477,0.8827,0.0158,0.7526,0.1752,1.205
LANE-047,SUP-019,West,4213,11.65,1.63,15.30,0.8928,0.9292,0.0189,0.7722,0.1466,1.195
LANE-048,SUP-020,West,6044,11.61,1.93,12.09,0.8904,0.9125,0.0145,0.7292,0.1648,1.284
LANE-049,SUP-021,West,4512,11.98,1.61,13.85,0.8595,0.8830,0.0183,0.6720,0.1680,1.025
LANE-050,SUP-022,West,5026,11.51,1.89,15.60,0.8615,0.9083,0.0215,0.7592,0.1343,1.073
LANE-051,SUP-023,West,4174,11.95,1.97,15.00,0.8740,0.8855,0.0159,0.5695,0.1735,1.092
LANE-052,SUP-024,West,5707,11.96,1.76,14.36,0.8696,0.9155,0.0226,0.5996,0.1881,1.190
LANE-053,SUP-025,West,4628,11.02,1.84,14.53,0.8964,0.9028,0.0222,0.6705,0.1343,1.248
LANE-054,SUP-026,West,5476,10.81,1.71,13.37,0.8729,0.8905,0.0223,0.7183,0.1629,1.164
LANE-055,SUP-027,West,4380,11.41,1.69,12.50,0.8529,0.8850,0.0207,0.7458,0.1583,1.277
LANE-056,SUP-028,West,4741,10.87,1.76,13.04,0.8936,0.9075,0.0148,0.6037,0.1711,1.069
LANE-057,SUP-001,West,4990,10.49,1.59,15.09,0.8582,0.9199,0.0214,0.7279,0.1175,1.194
LANE-058,SUP-002,West,5439,11.44,1.78,12.37,0.8622,0.9093,0.0163,0.7259,0.1487,1.156
LANE-059,SUP-003,West,4391,11.19,1.75,14.87,0.8645,0.8870,0.0197,0.5870,0.1651,1.015
LANE-060,SUP-004,West,5184,11.92,1.59,13.17,0.8748,0.8914,0.0146,0.6769,0.1320,1.215
LANE-061,SUP-005,International,3125,12.27,3.82,29.89,0.7652,0.7978,0.0507,0.4353,0.2718,1.740
LANE-062,SUP-006,International,2705,12.15,3.55,33.95,0.7563,0.8338,0.0368,0.3994,0.2526,1.944
LANE-063,SUP-007,International,2819,12.16,4.01,26.90,0.7374,0.8066,0.0416,0.4438,0.2592,1.787
LANE-064,SUP-008,International,2430,12.14,3.53,28.48,0.7559,0.8157,0.0448,0.4568,0.2488,1.992
LANE-065,SUP-009,International,3366,12.39,3.60,30.16,0.7433,0.8256,0.0513,0.5454,0.3269,1.989
LANE-066,SUP-010,International,2876,12.01,3.49,28.16,0.7685,0.8172,0.0533,0.4214,0.3047,1.904
LANE-067,SUP-011,International,2672,12.08,4.03,32.00,0.7798,0.8247,0.0366,0.4996,0.2089,1.874
LANE-068,SUP-012,International,2327,13.72,4.12,31.94,0.7572,0.8358,0.0489,0.4854,0.2300,1.850
LANE-069,SUP-013,International,3080,13.19,3.61,27.75,0.7427,0.8235,0.0361,0.4981,0.3258,2.121
LANE-070,SUP-014,International,2498,12.01,3.77,31.26,0.7737,0.7940,0.0500,0.4720,0.2478,2.023
LANE-071,SUP-015,International,2748,13.42,3.74,29.74,0.7583,0.8278,0.0485,0.4288,0.3419,1.788
LANE-072,SUP-016,International,3253,12.96,3.69,31.25,0.7673,0.8201,0.0338,0.3996,0.2679,2.042
LANE-073,SUP-017,International,3022,13.42,3.45,27.93,0.7326,0.8218,0.0369,0.5428,0.2593,2.120
LANE-074,SUP-018,International,3447,13.47,3.88,30.87,0.7765,0.8087,0.0535,0.4843,0.2996,2.060
LANE-075,SUP-019,International,3527,12.76,3.91,28.07,0.7371,0.8306,0.0541,0.4768,0.3393,2.114
LANE-076,SUP-020,International,3506,13.05,3.84,34.68,0.7719,0.7949,0.0339,0.5175,0.2547,1.838
LANE-077,SUP-021,International,3397,13.57,3.88,34.54,0.7800,0.8117,0.0399,0.5180,0.2271,1.815
LANE-078,SUP-022,International,2760,13.32,3.79,33.10,0.7401,0.7947,0.0412,0.4847,0.3359,1.926
LANE-079,SUP-023,International,2992,13.10,3.49,31.58,0.7394,0.8165,0.0336,0.5129,0.3203,1.926
LANE-080,SUP-024,International,2814,13.28,4.12,33.90,0.7462,0.8169,0.0541,0.5437,0.3080,1.722
