event_id,workflow_id,week,occurred_at,source_system,stage,attempt,status,reason,customer_impact
EVT-000027,W1-0027,2026-W23,2026-06-07T08:27:00Z,web,processing,1,success,,false
EVT-000028,W1-0028,2026-W23,2026-06-01T08:28:00Z,mobile,processing,1,success,,false
EVT-000029,W1-0029,2026-W23,2026-06-02T08:29:00Z,partner,processing,1,success,,false
EVT-000030,W1-0030,2026-W23,2026-06-03T08:30:00Z,web,processing,1,success,,false
EVT-000031,W1-0031,2026-W23,2026-06-04T08:31:00Z,mobile,processing,1,success,,false
EVT-000032,W1-0032,2026-W23,2026-06-05T08:32:00Z,partner,processing,1,success,,false
EVT-000033,W1-0033,2026-W23,2026-06-06T08:33:00Z,web,processing,1,success,,false
EVT-000034,W1-0034,2026-W23,2026-06-07T08:34:00Z,mobile,processing,1,success,,false
EVT-000035,W1-0035,2026-W23,2026-06-01T08:35:00Z,partner,processing,1,success,,false
EVT-000036,W1-0036,2026-W23,2026-06-02T08:36:00Z,web,processing,1,success,,false
EVT-000037,W1-0037,2026-W23,2026-06-03T08:37:00Z,mobile,processing,1,success,,false
EVT-000038,W1-0038,2026-W23,2026-06-04T08:38:00Z,partner,processing,1,success,,false
EVT-000039,W1-0039,2026-W23,2026-06-05T08:39:00Z,web,processing,1,success,,false
EVT-000040,W1-0040,2026-W23,2026-06-06T08:40:00Z,mobile,processing,1,success,,false
EVT-000041,W1-0041,2026-W23,2026-06-07T08:41:00Z,partner,processing,1,success,,false
EVT-000042,W1-0042,2026-W23,2026-06-01T08:42:00Z,web,processing,1,success,,false
EVT-000043,W1-0043,2026-W23,2026-06-02T08:43:00Z,mobile,processing,1,success,,false
EVT-000044,W1-0044,2026-W23,2026-06-03T08:44:00Z,partner,processing,1,success,,false
EVT-000045,W1-0045,2026-W23,2026-06-04T08:45:00Z,web,processing,1,success,,false
EVT-000046,W1-0046,2026-W23,2026-06-05T08:46:00Z,mobile,processing,1,success,,false
EVT-000047,W1-0047,2026-W23,2026-06-06T08:47:00Z,partner,processing,1,success,,false
EVT-000048,W1-0048,2026-W23,2026-06-07T08:48:00Z,web,processing,1,success,,false
EVT-000049,W1-0049,2026-W23,2026-06-01T08:49:00Z,mobile,processing,1,success,,false
EVT-000050,W1-0050,2026-W23,2026-06-02T08:50:00Z,partner,processing,1,success,,false
EVT-000051,W1-0051,2026-W23,2026-06-03T08:51:00Z,web,processing,1,success,,false
EVT-000052,W1-0052,2026-W23,2026-06-04T08:52:00Z,mobile,processing,1,success,,false
EVT-000053,W1-0053,2026-W23,2026-06-05T08:53:00Z,partner,processing,1,success,,false
EVT-000054,W1-0054,2026-W23,2026-06-06T08:54:00Z,web,processing,1,success,,false
EVT-000055,W1-0055,2026-W23,2026-06-07T08:55:00Z,mobile,processing,1,success,,false
EVT-000056,W1-0056,2026-W23,2026-06-01T08:56:00Z,partner,processing,1,success,,false
EVT-000057,W1-0057,2026-W23,2026-06-02T08:57:00Z,web,processing,1,success,,false
EVT-000058,W1-0058,2026-W23,2026-06-03T08:58:00Z,mobile,processing,1,success,,false
EVT-000059,W1-0059,2026-W23,2026-06-04T08:59:00Z,partner,processing,1,success,,false
EVT-000060,W1-0060,2026-W23,2026-06-05T08:00:00Z,web,processing,1,success,,false
EVT-000061,W1-0061,2026-W23,2026-06-06T08:01:00Z,mobile,processing,1,success,,false
EVT-000062,W1-0062,2026-W23,2026-06-07T08:02:00Z,partner,processing,1,success,,false
EVT-000063,W1-0063,2026-W23,2026-06-01T08:03:00Z,web,processing,1,success,,false
EVT-000064,W1-0064,2026-W23,2026-06-02T08:04:00Z,mobile,processing,1,success,,false
EVT-000065,W1-0065,2026-W23,2026-06-03T08:05:00Z,partner,processing,1,success,,false
EVT-000066,W1-0066,2026-W23,2026-06-04T08:06:00Z,web,processing,1,success,,false
EVT-000067,W1-0067,2026-W23,2026-06-05T08:07:00Z,mobile,processing,1,success,,false
EVT-000068,W1-0068,2026-W23,2026-06-06T08:08:00Z,partner,processing,1,success,,false
EVT-000069,W1-0069,2026-W23,2026-06-07T08:09:00Z,web,processing,1,success,,false
EVT-000070,W1-0070,2026-W23,2026-06-01T08:10:00Z,mobile,processing,1,success,,false
EVT-000071,W1-0071,2026-W23,2026-06-02T08:11:00Z,partner,processing,1,success,,false
EVT-000072,W1-0072,2026-W23,2026-06-03T08:12:00Z,web,processing,1,success,,false
EVT-000073,W1-0073,2026-W23,2026-06-04T08:13:00Z,mobile,processing,1,success,,false
EVT-000074,W1-0074,2026-W23,2026-06-05T08:14:00Z,partner,processing,1,success,,false
EVT-000075,W1-0075,2026-W23,2026-06-06T08:15:00Z,web,processing,1,success,,false
EVT-000076,W1-0076,2026-W23,2026-06-07T08:16:00Z,mobile,processing,1,success,,false
EVT-000077,W1-0077,2026-W23,2026-06-01T08:17:00Z,partner,processing,1,success,,false
EVT-000078,W1-0078,2026-W23,2026-06-02T08:18:00Z,web,processing,1,success,,false
EVT-000079,W1-0079,2026-W23,2026-06-03T08:19:00Z,mobile,processing,1,success,,false
EVT-000080,W1-0080,2026-W23,2026-06-04T08:20:00Z,partner,processing,1,success,,false
EVT-000081,W1-0081,2026-W23,2026-06-05T08:21:00Z,web,processing,1,success,,false
EVT-000082,W1-0082,2026-W23,2026-06-06T08:22:00Z,mobile,processing,1,success,,false
EVT-000083,W1-0083,2026-W23,2026-06-07T08:23:00Z,partner,processing,1,success,,false
EVT-000084,W1-0084,2026-W23,2026-06-01T08:24:00Z,web,processing,1,success,,false
EVT-000085,W1-0085,2026-W23,2026-06-02T08:25:00Z,mobile,processing,1,success,,false
EVT-000086,W1-0086,2026-W23,2026-06-03T08:26:00Z,partner,processing,1,success,,false
EVT-000087,W1-0087,2026-W23,2026-06-04T08:27:00Z,web,processing,1,success,,false
EVT-000088,W1-0088,2026-W23,2026-06-05T08:28:00Z,mobile,processing,1,success,,false
EVT-000089,W1-0089,2026-W23,2026-06-06T08:29:00Z,partner,processing,1,success,,false
EVT-000090,W1-0090,2026-W23,2026-06-07T08:30:00Z,web,processing,1,success,,false
EVT-000091,W1-0091,2026-W23,2026-06-01T08:31:00Z,mobile,processing,1,success,,false
EVT-000092,W1-0092,2026-W23,2026-06-02T08:32:00Z,partner,processing,1,success,,false
EVT-000093,W1-0093,2026-W23,2026-06-03T08:33:00Z,web,processing,1,success,,false
EVT-000094,W1-0094,2026-W23,2026-06-04T08:34:00Z,mobile,processing,1,success,,false
EVT-000095,W1-0095,2026-W23,2026-06-05T08:35:00Z,partner,processing,1,success,,false
EVT-000096,W1-0096,2026-W23,2026-06-06T08:36:00Z,web,processing,1,success,,false
EVT-000097,W1-0097,2026-W23,2026-06-07T08:37:00Z,mobile,processing,1,success,,false
EVT-000098,W1-0098,2026-W23,2026-06-01T08:38:00Z,partner,processing,1,success,,false
EVT-000099,W1-0099,2026-W23,2026-06-02T08:39:00Z,web,processing,1,success,,false
EVT-000100,W1-0100,2026-W23,2026-06-03T08:40:00Z,mobile,processing,1,success,,false
EVT-000101,W1-0101,2026-W23,2026-06-04T08:41:00Z,partner,processing,1,success,,false
EVT-000102,W1-0102,2026-W23,2026-06-05T08:42:00Z,web,processing,1,success,,false
EVT-000103,W1-0103,2026-W23,2026-06-06T08:43:00Z,mobile,processing,1,success,,false
EVT-000104,W1-0104,2026-W23,2026-06-07T08:44:00Z,partner,processing,1,success,,false
EVT-000105,W1-0105,2026-W23,2026-06-01T08:45:00Z,web,processing,1,success,,false
EVT-000106,W1-0106,2026-W23,2026-06-02T08:46:00Z,mobile,processing,1,success,,false
EVT-000107,W1-0107,2026-W23,2026-06-03T08:47:00Z,partner,processing,1,success,,false
EVT-000108,W1-0108,2026-W23,2026-06-04T08:48:00Z,web,processing,1,success,,false
EVT-000109,W1-0109,2026-W23,2026-06-05T08:49:00Z,mobile,processing,1,success,,false
EVT-000110,W1-0110,2026-W23,2026-06-06T08:50:00Z,partner,processing,1,success,,false
EVT-000111,W1-0111,2026-W23,2026-06-07T08:51:00Z,web,processing,1,success,,false
EVT-000112,W1-0112,2026-W23,2026-06-01T08:52:00Z,mobile,processing,1,success,,false
EVT-000113,W1-0113,2026-W23,2026-06-02T08:53:00Z,partner,processing,1,success,,false
EVT-000114,W1-0114,2026-W23,2026-06-03T08:54:00Z,web,processing,1,success,,false
EVT-000115,W1-0115,2026-W23,2026-06-04T08:55:00Z,mobile,processing,1,success,,false
EVT-000116,W1-0116,2026-W23,2026-06-05T08:56:00Z,partner,processing,1,success,,false
EVT-000117,W1-0117,2026-W23,2026-06-06T08:57:00Z,web,processing,1,success,,false
EVT-000118,W1-0118,2026-W23,2026-06-07T08:58:00Z,mobile,processing,1,success,,false
EVT-000119,W1-0119,2026-W23,2026-06-01T08:59:00Z,partner,processing,1,success,,false
EVT-000120,W1-0120,2026-W23,2026-06-02T08:00:00Z,web,processing,1,success,,false
EVT-000121,W1-0121,2026-W23,2026-06-03T08:01:00Z,mobile,processing,1,success,,false
EVT-000122,W1-0122,2026-W23,2026-06-04T08:02:00Z,partner,processing,1,success,,false
EVT-000123,W1-0123,2026-W23,2026-06-05T08:03:00Z,web,processing,1,success,,false
EVT-000124,W1-0124,2026-W23,2026-06-06T08:04:00Z,mobile,processing,1,success,,false
EVT-000125,W1-0125,2026-W23,2026-06-07T08:05:00Z,partner,processing,1,success,,false
EVT-000126,W1-0126,2026-W23,2026-06-01T08:06:00Z,web,processing,1,success,,false
EVT-000127,W1-0127,2026-W23,2026-06-02T08:07:00Z,mobile,processing,1,success,,false
EVT-000128,W1-0128,2026-W23,2026-06-03T08:08:00Z,partner,processing,1,success,,false
EVT-000129,W1-0129,2026-W23,2026-06-04T08:09:00Z,web,processing,1,success,,false
EVT-000130,W1-0130,2026-W23,2026-06-05T08:10:00Z,mobile,processing,1,success,,false
EVT-000131,W1-0131,2026-W23,2026-06-06T08:11:00Z,partner,processing,1,success,,false
EVT-000132,W1-0132,2026-W23,2026-06-07T08:12:00Z,web,processing,1,success,,false
EVT-000133,W1-0133,2026-W23,2026-06-01T08:13:00Z,mobile,processing,1,success,,false
EVT-000134,W1-0134,2026-W23,2026-06-02T08:14:00Z,partner,processing,1,success,,false
EVT-000135,W1-0135,2026-W23,2026-06-03T08:15:00Z,web,processing,1,success,,false
EVT-000136,W1-0136,2026-W23,2026-06-04T08:16:00Z,mobile,processing,1,success,,false
EVT-000137,W1-0137,2026-W23,2026-06-05T08:17:00Z,partner,processing,1,success,,false
EVT-000138,W1-0138,2026-W23,2026-06-06T08:18:00Z,web,processing,1,success,,false
EVT-000139,W1-0139,2026-W23,2026-06-07T08:19:00Z,mobile,processing,1,success,,false
EVT-000140,W1-0140,2026-W23,2026-06-01T08:20:00Z,partner,processing,1,success,,false
EVT-000141,W1-0141,2026-W23,2026-06-02T08:21:00Z,web,processing,1,success,,false
EVT-000142,W1-0142,2026-W23,2026-06-03T08:22:00Z,mobile,processing,1,success,,false
EVT-000143,W1-0143,2026-W23,2026-06-04T08:23:00Z,partner,processing,1,success,,false
EVT-000144,W1-0144,2026-W23,2026-06-05T08:24:00Z,web,processing,1,success,,false
EVT-000145,W1-0145,2026-W23,2026-06-06T08:25:00Z,mobile,processing,1,success,,false
EVT-000146,W1-0146,2026-W23,2026-06-07T08:26:00Z,partner,processing,1,success,,false
EVT-000147,W1-0147,2026-W23,2026-06-01T08:27:00Z,web,processing,1,success,,false
EVT-000148,W1-0148,2026-W23,2026-06-02T08:28:00Z,mobile,processing,1,success,,false
EVT-000149,W1-0149,2026-W23,2026-06-03T08:29:00Z,partner,processing,1,success,,false
EVT-000150,W1-0150,2026-W23,2026-06-04T08:30:00Z,web,processing,1,success,,false
EVT-000151,W1-0151,2026-W23,2026-06-05T08:31:00Z,mobile,processing,1,success,,false
EVT-000152,W1-0152,2026-W23,2026-06-06T08:32:00Z,partner,processing,1,success,,false
EVT-000153,W1-0153,2026-W23,2026-06-07T08:33:00Z,web,processing,1,success,,false
EVT-000154,W1-0154,2026-W23,2026-06-01T08:34:00Z,mobile,processing,1,success,,false
EVT-000155,W1-0155,2026-W23,2026-06-02T08:35:00Z,partner,processing,1,success,,false
EVT-000156,W1-0156,2026-W23,2026-06-03T08:36:00Z,web,processing,1,success,,false
EVT-000157,W1-0157,2026-W23,2026-06-04T08:37:00Z,mobile,processing,1,success,,false
EVT-000158,W1-0158,2026-W23,2026-06-05T08:38:00Z,partner,processing,1,success,,false
EVT-000159,W1-0159,2026-W23,2026-06-06T08:39:00Z,web,processing,1,success,,false
EVT-000160,W1-0160,2026-W23,2026-06-07T08:40:00Z,mobile,processing,1,success,,false
EVT-000161,W1-0161,2026-W23,2026-06-01T08:41:00Z,partner,processing,1,success,,false
EVT-000162,W1-0162,2026-W23,2026-06-02T08:42:00Z,web,processing,1,success,,false
EVT-000163,W1-0163,2026-W23,2026-06-03T08:43:00Z,mobile,processing,1,success,,false
EVT-000164,W1-0164,2026-W23,2026-06-04T08:44:00Z,partner,processing,1,success,,false
EVT-000165,W1-0165,2026-W23,2026-06-05T08:45:00Z,web,processing,1,success,,false
EVT-000166,W1-0166,2026-W23,2026-06-06T08:46:00Z,mobile,processing,1,success,,false
EVT-000167,W1-0167,2026-W23,2026-06-07T08:47:00Z,partner,processing,1,success,,false
EVT-000168,W1-0168,2026-W23,2026-06-01T08:48:00Z,web,processing,1,success,,false
EVT-000169,W1-0169,2026-W23,2026-06-02T08:49:00Z,mobile,processing,1,success,,false
EVT-000170,W1-0170,2026-W23,2026-06-03T08:50:00Z,partner,processing,1,success,,false
EVT-000171,W1-0171,2026-W23,2026-06-04T08:51:00Z,web,processing,1,success,,false
EVT-000172,W1-0172,2026-W23,2026-06-05T08:52:00Z,mobile,processing,1,success,,false
EVT-000173,W1-0173,2026-W23,2026-06-06T08:53:00Z,partner,processing,1,success,,false
EVT-000174,W1-0174,2026-W23,2026-06-07T08:54:00Z,web,processing,1,success,,false
EVT-000175,W1-0175,2026-W23,2026-06-01T08:55:00Z,mobile,processing,1,success,,false
EVT-000176,W1-0176,2026-W23,2026-06-02T08:56:00Z,partner,processing,1,success,,false
EVT-000177,W1-0177,2026-W23,2026-06-03T08:57:00Z,web,processing,1,success,,false
EVT-000178,W1-0178,2026-W23,2026-06-04T08:58:00Z,mobile,processing,1,success,,false
EVT-000179,W1-0179,2026-W23,2026-06-05T08:59:00Z,partner,processing,1,success,,false
EVT-000180,W1-0180,2026-W23,2026-06-06T08:00:00Z,web,processing,1,success,,false
EVT-000181,W1-0181,2026-W23,2026-06-07T08:01:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000182,W1-0181,2026-W23,2026-06-07T09:01:00Z,mobile,processing,2,success,,false
EVT-000183,W1-0182,2026-W23,2026-06-01T08:02:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000184,W1-0182,2026-W23,2026-06-01T09:02:00Z,partner,processing,2,success,,false
EVT-000185,W1-0183,2026-W23,2026-06-02T08:03:00Z,web,processing,1,failure,transient_timeout,false
EVT-000186,W1-0183,2026-W23,2026-06-02T09:03:00Z,web,processing,2,success,,false
EVT-000187,W1-0184,2026-W23,2026-06-03T08:04:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000188,W1-0184,2026-W23,2026-06-03T09:04:00Z,mobile,processing,2,success,,false
EVT-000189,W1-0185,2026-W23,2026-06-04T08:05:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000190,W1-0185,2026-W23,2026-06-04T09:05:00Z,partner,processing,2,success,,false
EVT-000191,W1-0186,2026-W23,2026-06-05T08:06:00Z,web,processing,1,failure,transient_timeout,false
EVT-000192,W1-0186,2026-W23,2026-06-05T09:06:00Z,web,processing,2,success,,false
EVT-000193,W1-0187,2026-W23,2026-06-06T08:07:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000194,W1-0187,2026-W23,2026-06-06T09:07:00Z,mobile,processing,2,success,,false
EVT-000195,W1-0188,2026-W23,2026-06-07T08:08:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000196,W1-0188,2026-W23,2026-06-07T09:08:00Z,partner,processing,2,success,,false
EVT-000197,W1-0189,2026-W23,2026-06-01T08:09:00Z,web,processing,1,failure,transient_timeout,false
EVT-000198,W1-0189,2026-W23,2026-06-01T09:09:00Z,web,processing,2,success,,false
EVT-000199,W1-0190,2026-W23,2026-06-02T08:10:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000200,W1-0190,2026-W23,2026-06-02T09:10:00Z,mobile,processing,2,success,,false
EVT-000201,W1-0191,2026-W23,2026-06-03T08:11:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000202,W1-0191,2026-W23,2026-06-03T09:11:00Z,partner,processing,2,success,,false
EVT-000203,W1-0192,2026-W23,2026-06-04T08:12:00Z,web,processing,1,failure,transient_timeout,false
EVT-000204,W1-0192,2026-W23,2026-06-04T09:12:00Z,web,processing,2,success,,false
EVT-000205,W1-0193,2026-W23,2026-06-05T08:13:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000206,W1-0193,2026-W23,2026-06-05T09:13:00Z,mobile,processing,2,success,,false
EVT-000207,W1-0194,2026-W23,2026-06-06T08:14:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000208,W1-0194,2026-W23,2026-06-06T09:14:00Z,partner,processing,2,success,,false
EVT-000209,W1-0195,2026-W23,2026-06-07T08:15:00Z,web,processing,1,failure,transient_timeout,false
EVT-000210,W1-0195,2026-W23,2026-06-07T09:15:00Z,web,processing,2,success,,false
EVT-000211,W1-0196,2026-W23,2026-06-01T08:16:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000212,W1-0196,2026-W23,2026-06-01T09:16:00Z,mobile,processing,2,failure,upstream_unavailable,true
EVT-000213,W1-0197,2026-W23,2026-06-02T08:17:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000214,W1-0197,2026-W23,2026-06-02T09:17:00Z,partner,processing,2,failure,upstream_unavailable,true
EVT-000215,W1-0198,2026-W23,2026-06-03T08:18:00Z,web,processing,1,failure,transient_timeout,false
EVT-000216,W1-0198,2026-W23,2026-06-03T09:18:00Z,web,processing,2,failure,upstream_unavailable,true
EVT-000217,W1-0199,2026-W23,2026-06-04T08:19:00Z,mobile,processing,1,failure,transient_timeout,false
EVT-000218,W1-0199,2026-W23,2026-06-04T09:19:00Z,mobile,processing,2,failure,upstream_unavailable,true
EVT-000219,W1-0200,2026-W23,2026-06-05T08:20:00Z,partner,processing,1,failure,partner_timeout,false
EVT-000220,W1-0200,2026-W23,2026-06-05T09:20:00Z,partner,processing,2,failure,upstream_unavailable,true
EVT-000221,W2-0001,2026-W24,2026-06-09T08:01:00Z,mobile,processing,1,success,,false
EVT-000222,W2-0002,2026-W24,2026-06-10T08:02:00Z,partner,processing,1,success,,false
EVT-000223,W2-0003,2026-W24,2026-06-11T08:03:00Z,web,processing,1,success,,false
EVT-000224,W2-0004,2026-W24,2026-06-12T08:04:00Z,mobile,processing,1,success,,false
EVT-000225,W2-0005,2026-W24,2026-06-13T08:05:00Z,partner,processing,1,success,,false
EVT-000226,W2-0006,2026-W24,2026-06-14T08:06:00Z,web,processing,1,success,,false
EVT-000227,W2-0007,2026-W24,2026-06-08T08:07:00Z,mobile,processing,1,success,,false
EVT-000228,W2-0008,2026-W24,2026-06-09T08:08:00Z,partner,processing,1,success,,false
EVT-000229,W2-0009,2026-W24,2026-06-10T08:09:00Z,web,processing,1,success,,false
EVT-000230,W2-0010,2026-W24,2026-06-11T08:10:00Z,mobile,processing,1,success,,false
EVT-000231,W2-0011,2026-W24,2026-06-12T08:11:00Z,partner,processing,1,success,,false
EVT-000232,W2-0012,2026-W24,2026-06-13T08:12:00Z,web,processing,1,success,,false
EVT-000233,W2-0013,2026-W24,2026-06-14T08:13:00Z,mobile,processing,1,success,,false
EVT-000234,W2-0014,2026-W24,2026-06-08T08:14:00Z,partner,processing,1,success,,false
EVT-000235,W2-0015,2026-W24,2026-06-09T08:15:00Z,web,processing,1,success,,false
EVT-000236,W2-0016,2026-W24,2026-06-10T08:16:00Z,mobile,processing,1,success,,false
EVT-000237,W2-0017,2026-W24,2026-06-11T08:17:00Z,partner,processing,1,success,,false
EVT-000238,W2-0018,2026-W24,2026-06-12T08:18:00Z,web,processing,1,success,,false
EVT-000239,W2-0019,2026-W24,2026-06-13T08:19:00Z,mobile,processing,1,success,,false
EVT-000240,W2-0020,2026-W24,2026-06-14T08:20:00Z,partner,processing,1,success,,false
EVT-000241,W2-0021,2026-W24,2026-06-08T08:21:00Z,web,processing,1,success,,false
EVT-000242,W2-0022,2026-W24,2026-06-09T08:22:00Z,mobile,processing,1,success,,false
EVT-000243,W2-0023,2026-W24,2026-06-10T08:23:00Z,partner,processing,1,success,,false
EVT-000244,W2-0024,2026-W24,2026-06-11T08:24:00Z,web,processing,1,success,,false
EVT-000245,W2-0025,2026-W24,2026-06-12T08:25:00Z,mobile,processing,1,success,,false
EVT-000246,W2-0026,2026-W24,2026-06-13T08:26:00Z,partner,processing,1,success,,false
EVT-000247,W2-0027,2026-W24,2026-06-14T08:27:00Z,web,processing,1,success,,false
EVT-000248,W2-0028,2026-W24,2026-06-08T08:28:00Z,mobile,processing,1,success,,false
EVT-000249,W2-0029,2026-W24,2026-06-09T08:29:00Z,partner,processing,1,success,,false
EVT-000250,W2-0030,2026-W24,2026-06-10T08:30:00Z,web,processing,1,success,,false
EVT-000251,W2-0031,2026-W24,2026-06-11T08:31:00Z,mobile,processing,1,success,,false
EVT-000252,W2-0032,2026-W24,2026-06-12T08:32:00Z,partner,processing,1,success,,false
EVT-000253,W2-0033,2026-W24,2026-06-13T08:33:00Z,web,processing,1,success,,false
EVT-000254,W2-0034,2026-W24,2026-06-14T08:34:00Z,mobile,processing,1,success,,false
EVT-000255,W2-0035,2026-W24,2026-06-08T08:35:00Z,partner,processing,1,success,,false
EVT-000256,W2-0036,2026-W24,2026-06-09T08:36:00Z,web,processing,1,success,,false
EVT-000257,W2-0037,2026-W24,2026-06-10T08:37:00Z,mobile,processing,1,success,,false
EVT-000258,W2-0038,2026-W24,2026-06-11T08:38:00Z,partner,processing,1,success,,false
EVT-000259,W2-0039,2026-W24,2026-06-12T08:39:00Z,web,processing,1,success,,false
EVT-000260,W2-0040,2026-W24,2026-06-13T08:40:00Z,mobile,processing,1,success,,false
EVT-000261,W2-0041,2026-W24,2026-06-14T08:41:00Z,partner,processing,1,success,,false
EVT-000262,W2-0042,2026-W24,2026-06-08T08:42:00Z,web,processing,1,success,,false
EVT-000263,W2-0043,2026-W24,2026-06-09T08:43:00Z,mobile,processing,1,success,,false
EVT-000264,W2-0044,2026-W24,2026-06-10T08:44:00Z,partner,processing,1,success,,false
EVT-000265,W2-0045,2026-W24,2026-06-11T08:45:00Z,web,processing,1,success,,false
EVT-000266,W2-0046,2026-W24,2026-06-12T08:46:00Z,mobile,processing,1,success,,false
EVT-000267,W2-0047,2026-W24,2026-06-13T08:47:00Z,partner,processing,1,success,,false
EVT-000268,W2-0048,2026-W24,2026-06-14T08:48:00Z,web,processing,1,success,,false
EVT-000269,W2-0049,2026-W24,2026-06-08T08:49:00Z,mobile,processing,1,success,,false
EVT-000270,W2-0050,2026-W24,2026-06-09T08:50:00Z,partner,processing,1,success,,false
EVT-000271,W2-0051,2026-W24,2026-06-10T08:51:00Z,web,processing,1,success,,false
EVT-000272,W2-0052,2026-W24,2026-06-11T08:52:00Z,mobile,processing,1,success,,false
EVT-000273,W2-0053,2026-W24,2026-06-12T08:53:00Z,partner,processing,1,success,,false
EVT-000274,W2-0054,2026-W24,2026-06-13T08:54:00Z,web,processing,1,success,,false
EVT-000275,W2-0055,2026-W24,2026-06-14T08:55:00Z,mobile,processing,1,success,,false
EVT-000276,W2-0056,2026-W24,2026-06-08T08:56:00Z,partner,processing,1,success,,false
EVT-000277,W2-0057,2026-W24,2026-06-09T08:57:00Z,web,processing,1,success,,false
EVT-000278,W2-0058,2026-W24,2026-06-10T08:58:00Z,mobile,processing,1,success,,false
EVT-000279,W2-0059,2026-W24,2026-06-11T08:59:00Z,partner,processing,1,success,,false
EVT-000280,W2-0060,2026-W24,2026-06-12T08:00:00Z,web,processing,1,success,,false
EVT-000281,W2-0061,2026-W24,2026-06-13T08:01:00Z,mobile,processing,1,success,,false
EVT-000282,W2-0062,2026-W24,2026-06-14T08:02:00Z,partner,processing,1,success,,false
EVT-000283,W2-0063,2026-W24,2026-06-08T08:03:00Z,web,processing,1,success,,false
EVT-000284,W2-0064,2026-W24,2026-06-09T08:04:00Z,mobile,processing,1,success,,false
EVT-000285,W2-0065,2026-W24,2026-06-10T08:05:00Z,partner,processing,1,success,,false
EVT-000286,W2-0066,2026-W24,2026-06-11T08:06:00Z,web,processing,1,success,,false
EVT-000287,W2-0067,2026-W24,2026-06-12T08:07:00Z,mobile,processing,1,success,,false
EVT-000288,W2-0068,2026-W24,2026-06-13T08:08:00Z,partner,processing,1,success,,false
EVT-000289,W2-0069,2026-W24,2026-06-14T08:09:00Z,web,processing,1,success,,false
EVT-000290,W2-0070,2026-W24,2026-06-08T08:10:00Z,mobile,processing,1,success,,false
EVT-000291,W2-0071,2026-W24,2026-06-09T08:11:00Z,partner,processing,1,success,,false
EVT-000292,W2-0072,2026-W24,2026-06-10T08:12:00Z,web,processing,1,success,,false
