lane_id,supplier_id,region,segment,landed_cost_per_unit,lead_time_days,on_time_rate,fill_rate,defect_rate,demand_cv,expedite_rate,annual_units
LANE-024,SUP-024,Central,cost_efficient_routine,10.44,18.11,0.9358,0.9326,0.0103,0.2999,0.0477,3494
LANE-025,SUP-025,Central,cost_efficient_routine,11.05,15.89,0.937,0.9624,0.0099,0.3351,0.0471,3981
LANE-026,SUP-026,Central,cost_efficient_routine,10.78,18.65,0.935,0.9305,0.0112,0.2458,0.052,3492
LANE-027,SUP-027,Central,cost_efficient_routine,10.6,19.22,0.9174,0.9506,0.0098,0.2845,0.0533,5024
LANE-028,SUP-028,Central,cost_efficient_routine,11.24,19.03,0.9293,0.9273,0.015,0.3366,0.0655,3282
LANE-029,SUP-001,Central,cost_efficient_routine,11.25,17.77,0.9379,0.9466,0.0131,0.2492,0.0466,4328
LANE-030,SUP-002,Central,cost_efficient_routine,10.24,18.83,0.9495,0.9288,0.0149,0.2776,0.0664,3300
LANE-031,SUP-003,Central,cost_efficient_routine,10.71,15.72,0.9396,0.935,0.0125,0.2487,0.0427,4312
LANE-032,SUP-004,Central,cost_efficient_routine,11.31,15.39,0.9032,0.931,0.014,0.3205,0.0664,3543
LANE-033,SUP-005,Central,cost_efficient_routine,11.33,18.44,0.9334,0.9232,0.0149,0.2424,0.0654,4952
LANE-034,SUP-006,Central,cost_efficient_routine,11.16,16.4,0.9254,0.9684,0.0091,0.3312,0.0649,3858
LANE-035,SUP-007,Central,cost_efficient_routine,10.33,18.83,0.9318,0.9472,0.0142,0.334,0.0448,4006
LANE-036,SUP-008,Central,cost_efficient_routine,10.41,17.57,0.9403,0.9342,0.0097,0.2439,0.0578,3467
LANE-037,SUP-009,Central,cost_efficient_routine,10.43,14.88,0.9299,0.9582,0.0132,0.3258,0.0579,4074
LANE-038,SUP-010,Central,cost_efficient_routine,10.5,19.21,0.9519,0.9228,0.0141,0.2521,0.0538,4446
LANE-039,SUP-011,Central,cost_efficient_routine,10.14,16.94,0.9368,0.9433,0.0141,0.2528,0.0584,4343
LANE-040,SUP-012,Central,cost_efficient_routine,10.87,17.18,0.9314,0.9399,0.0142,0.249,0.0619,4948
LANE-041,SUP-013,West,volatile_growth,12.4,12.34,0.8688,0.8831,0.0193,0.6586,0.1685,5092
LANE-042,SUP-014,West,volatile_growth,12.38,13,0.8773,0.9275,0.0197,0.793,0.1825,5135
LANE-043,SUP-015,West,volatile_growth,13.26,12.1,0.882,0.9203,0.0187,0.6307,0.1889,4677
LANE-044,SUP-016,West,volatile_growth,12.33,14.8,0.8472,0.8862,0.0201,0.6444,0.1204,6009
LANE-045,SUP-017,West,volatile_growth,13.11,15.15,0.8612,0.9186,0.0235,0.6515,0.1488,5793
LANE-046,SUP-018,West,volatile_growth,13.2,12.82,0.8477,0.8827,0.0158,0.7526,0.1752,5124
LANE-047,SUP-019,West,volatile_growth,13.28,15.3,0.8928,0.9292,0.0189,0.7722,0.1466,4213
LANE-048,SUP-020,West,volatile_growth,13.54,12.09,0.8904,0.9125,0.0145,0.7292,0.1648,6044
LANE-049,SUP-021,West,volatile_growth,13.59,13.85,0.8595,0.883,0.0183,0.672,0.168,4512
LANE-050,SUP-022,West,volatile_growth,13.4,15.6,0.8615,0.9083,0.0215,0.7592,0.1343,5026
LANE-051,SUP-023,West,volatile_growth,13.92,15,0.874,0.8855,0.0159,0.5695,0.1735,4174
LANE-052,SUP-024,West,volatile_growth,13.72,14.36,0.8696,0.9155,0.0226,0.5996,0.1881,5707
LANE-053,SUP-025,West,volatile_growth,12.86,14.53,0.8964,0.9028,0.0222,0.6705,0.1343,4628
LANE-054,SUP-026,West,volatile_growth,12.52,13.37,0.8729,0.8905,0.0223,0.7183,0.1629,5476
LANE-055,SUP-027,West,volatile_growth,13.1,12.5,0.8529,0.885,0.0207,0.7458,0.1583,4380
LANE-056,SUP-028,West,volatile_growth,12.63,13.04,0.8936,0.9075,0.0148,0.6037,0.1711,4741
LANE-057,SUP-001,West,volatile_growth,12.08,15.09,0.8582,0.9199,0.0214,0.7279,0.1175,4990
LANE-058,SUP-002,West,volatile_growth,13.22,12.37,0.8622,0.9093,0.0163,0.7259,0.1487,5439
LANE-059,SUP-003,West,volatile_growth,12.94,14.87,0.8645,0.887,0.0197,0.587,0.1651,4391
LANE-060,SUP-004,West,volatile_growth,13.51,13.17,0.8748,0.8914,0.0146,0.6769,0.132,5184
LANE-061,SUP-005,International,constrained_recovery,16.09,29.89,0.7652,0.7978,0.0507,0.4353,0.2718,3125
LANE-062,SUP-006,International,constrained_recovery,15.7,33.95,0.7563,0.8338,0.0368,0.3994,0.2526,2705
LANE-063,SUP-007,International,constrained_recovery,16.17,26.9,0.7374,0.8066,0.0416,0.4438,0.2592,2819
LANE-064,SUP-008,International,constrained_recovery,15.67,28.48,0.7559,0.8157,0.0448,0.4568,0.2488,2430
LANE-065,SUP-009,International,constrained_recovery,15.99,30.16,0.7433,0.8256,0.0513,0.5454,0.3269,3366
LANE-066,SUP-010,International,constrained_recovery,15.5,28.16,0.7685,0.8172,0.0533,0.4214,0.3047,2876
LANE-067,SUP-011,International,constrained_recovery,16.11,32,0.7798,0.8247,0.0366,0.4996,0.2089,2672
LANE-068,SUP-012,International,constrained_recovery,17.84,31.94,0.7572,0.8358,0.0489,0.4854,0.23,2327
LANE-069,SUP-013,International,constrained_recovery,16.8,27.75,0.7427,0.8235,0.0361,0.4981,0.3258,3080
LANE-070,SUP-014,International,constrained_recovery,15.78,31.26,0.7737,0.794,0.05,0.472,0.2478,2498
LANE-071,SUP-015,International,constrained_recovery,17.16,29.74,0.7583,0.8278,0.0485,0.4288,0.3419,2748
LANE-072,SUP-016,International,constrained_recovery,16.65,31.25,0.7673,0.8201,0.0338,0.3996,0.2679,3253
LANE-073,SUP-017,International,constrained_recovery,16.87,27.93,0.7326,0.8218,0.0369,0.5428,0.2593,3022
LANE-074,SUP-018,International,constrained_recovery,17.35,30.87,0.7765,0.8087,0.0535,0.4843,0.2996,3447
LANE-075,SUP-019,International,constrained_recovery,16.67,28.07,0.7371,0.8306,0.0541,0.4768,0.3393,3527
LANE-076,SUP-020,International,constrained_recovery,16.89,34.68,0.7719,0.7949,0.0339,0.5175,0.2547,3506
LANE-077,SUP-021,International,constrained_recovery,17.45,34.54,0.78,0.8117,0.0399,0.518,0.2271,3397
LANE-078,SUP-022,International,constrained_recovery,17.11,33.1,0.7401,0.7947,0.0412,0.4847,0.3359,2760
LANE-079,SUP-023,International,constrained_recovery,16.59,31.58,0.7394,0.8165,0.0336,0.5129,0.3203,2992
LANE-080,SUP-024,International,constrained_recovery,17.4,33.9,0.7462,0.8169,0.0541,0.5437,0.308,2814
